period,location_a,location_b,co_mentions
post_election_upto_forming_government,Chattogram,Gazipur,7
post_election_upto_forming_government,Dhaka,Kurigram,7
post_election_upto_forming_government,Dhaka,Narail,7
post_election_upto_forming_government,Dhaka,Nilphamari,7
post_election_upto_forming_government,Dhaka,কিশোরগঞ্জ,7
post_election_upto_forming_government,Dhaka,পাবনা,7
post_election_upto_forming_government,Kishoreganj,কিশোরগঞ্জ,7
post_election_upto_forming_government,Nilphamari,Rangpur,7
post_election_upto_forming_government,Noakhali,নোয়াখালী,7
post_election_upto_forming_government,Barishal,Gazipur,6
post_election_upto_forming_government,Chattogram,Patuakhali,6
post_election_upto_forming_government,Chattogram,নোয়াখালী,6
post_election_upto_forming_government,Dhaka,Natore,6
post_election_upto_forming_government,Dhaka,Panchagarh,6
post_election_upto_forming_government,Dhaka,Sunamganj,6
post_election_upto_forming_government,Dhaka,ফরিদপুর,6
post_election_upto_forming_government,Gazipur,Mymensingh,6
post_election_upto_forming_government,Gazipur,Rangpur,6
post_election_upto_forming_government,Jashore,Khulna,6
post_election_upto_forming_government,Pabna,Rajshahi,6
post_election_upto_forming_government,Bandarban,Chattogram,5
post_election_upto_forming_government,Barguna,Barishal,5
post_election_upto_forming_government,Barishal,Patuakhali,5
post_election_upto_forming_government,Barishal,ভোলা,5
post_election_upto_forming_government,Chattogram,Feni,5
post_election_upto_forming_government,Chattogram,Khulna,5
post_election_upto_forming_government,Chattogram,Rajshahi,5
post_election_upto_forming_government,Dhaka,Lalmonirhat,5
post_election_upto_forming_government,Dhaka,Satkhira,5
post_election_upto_forming_government,Kurigram,Rangpur,5
post_election_upto_forming_government,Lalmonirhat,Rangpur,5
post_election_upto_forming_government,Mymensingh,ময়মনসিংহ,5
post_election_upto_forming_government,Naogaon,Rajshahi,5
post_election_upto_forming_government,Natore,Rajshahi,5
post_election_upto_forming_government,Sylhet,মৌলভীবাজার,5
post_election_upto_forming_government,Sylhet,সুনামগঞ্জ,5
post_election_upto_forming_government,Bhola,ভোলা,4
post_election_upto_forming_government,Bogura,Rajshahi,4
post_election_upto_forming_government,Bogura,Rangpur,4
post_election_upto_forming_government,Chattogram,Narayanganj,4
post_election_upto_forming_government,Chattogram,Pirojpur,4
post_election_upto_forming_government,Chattogram,Rangamati,4
post_election_upto_forming_government,Chattogram,চাঁদপুর,4
post_election_upto_forming_government,Chattogram,ব্রাহ্মণবাড়িয়া,4
post_election_upto_forming_government,Cumilla,Narayanganj,4
post_election_upto_forming_government,Dhaka,Gaibandha,4
post_election_upto_forming_government,Dhaka,Jashore,4
post_election_upto_forming_government,Dhaka,Magura,4
post_election_upto_forming_government,Dhaka,গোপালগঞ্জ,4
post_election_upto_forming_government,Dhaka,বগুড়া,4
post_election_upto_forming_government,Dhaka,সুনামগঞ্জ,4
post_election_upto_forming_government,Dinajpur,Rangpur,4
post_election_upto_forming_government,Dinajpur,দিনাজপুর,4
post_election_upto_forming_government,Gaibandha,Rangpur,4
post_election_upto_forming_government,Gazipur,Pabna,4
post_election_upto_forming_government,Moulvibazar,Sylhet,4
post_election_upto_forming_government,Naogaon,নওগাঁ,4
post_election_upto_forming_government,Narsingdi,নরসিংদী,4
post_election_upto_forming_government,Rangpur,নীলফামারী,4
post_election_upto_forming_government,Bagerhat,Chattogram,3
post_election_upto_forming_government,Barguna,বরগুনা,3
post_election_upto_forming_government,Barishal,Cumilla,3
post_election_upto_forming_government,Barishal,Khulna,3
post_election_upto_forming_government,Barishal,Narayanganj,3
post_election_upto_forming_government,Barishal,বরগুনা,3
post_election_upto_forming_government,Chattogram,Mymensingh,3
post_election_upto_forming_government,Chattogram,Rangpur,3
post_election_upto_forming_government,Cox's Bazar,Rajshahi,3
post_election_upto_forming_government,Dhaka,Habiganj,3
post_election_upto_forming_government,Dhaka,Joypurhat,3
post_election_upto_forming_government,Dhaka,Meherpur,3
post_election_upto_forming_government,Dhaka,Pirojpur,3
post_election_upto_forming_government,Dhaka,Thakurgaon,3
post_election_upto_forming_government,Dhaka,কুড়িগ্রাম,3
post_election_upto_forming_government,Dhaka,কুষ্টিয়া,3
post_election_upto_forming_government,Dhaka,চাঁদপুর,3
post_election_upto_forming_government,Dhaka,ঝিনাইদহ,3
post_election_upto_forming_government,Dhaka,নীলফামারী,3
post_election_upto_forming_government,Dhaka,শরীয়তপুর,3
post_election_upto_forming_government,Faridpur,ফরিদপুর,3
post_election_upto_forming_government,Gazipur,Khulna,3
post_election_upto_forming_government,Gazipur,Sylhet,3
post_election_upto_forming_government,Khulna,যশোর,3
post_election_upto_forming_government,Kushtia,কুষ্টিয়া,3
post_election_upto_forming_government,Pabna,পাবনা,3
post_election_upto_forming_government,Bagerhat,Gazipur,2
post_election_upto_forming_government,Barishal,Gopalganj,2
post_election_upto_forming_government,Barishal,Pirojpur,2
post_election_upto_forming_government,Barishal,Rangpur,2
post_election_upto_forming_government,Bhola,Chattogram,2
